VersiÃ³n,Fecha,Cambio realizado,Responsable,Estado
1,28/06/2025,Creacion del diseño base de la pagina principal,Patrick Gonzalez,Implementado
1.1,29/06/2025,Se agrega vista de detalle de producto,Patrick Gonzalez,Implementado
1.2,30/06/2025,Se añadio funcionalidad de carrito de compras,Bastian Muñoz,Implementado
1.3,01/07/2025,Integracion del metodo de pago,Maximiliano Millacaris,Implementado
1.4,02/07/2025,Añadido historial de compras y cierre de sesion,Maximiliano Millacaris,Implementado
1.5,03/07/2025,Vista de panel administrativo y gestion de productos,Bastian Muñoz,Implementado
